date,IC,Rank_IC
2024-09-12,0.06330877549683742,0.029649040544989666
2024-09-13,-0.03025474606483532,-0.08143542747112299
2024-09-18,0.06316276581572171,0.05216035819809662
2024-09-19,0.11596085110067342,0.14990684471230803
2024-09-20,0.21209923248256563,0.22551352298648342
2024-09-23,-0.07928095767141805,0.0849595451749799
2024-09-24,-0.06038362534116894,0.019197862018489033
2024-09-25,-0.2532150876653419,-0.23841270251764768
2024-10-08,0.14504807527018734,0.14786284528386567
2024-10-09,0.14848978016854542,0.07415516732693399
2024-10-10,0.11841586684498967,0.2643419624258819
2024-10-11,0.165484971392121,0.1519871689506812
2024-10-14,0.11640760266417845,0.1588641536179831
2024-10-15,-0.15440243441941473,-0.2323465073711376
2024-10-16,-0.3950811550222009,-0.4474615504880735
2024-10-17,-0.2934123360034981,-0.40782387104368995
2024-10-18,-0.053212660783509086,0.08598056170304051
2024-10-21,-0.02875912425645103,-0.07223953924693918
2024-10-22,-0.036369530774697435,-0.060853541872726125
2024-10-23,0.12524067751058124,0.13036975470787798
2024-10-24,0.08417423265417427,0.11594766112077474
2024-10-25,-0.0329968443186037,-0.02367045155157748
2024-10-28,0.0508478430437341,0.09215014717711792
2024-10-29,0.23352496422329905,0.24145415530243974
2024-10-30,0.13019350310582278,0.08869381982001374
2024-10-31,0.07174003896565488,0.06593188728102073
2024-11-01,0.01746304478961215,0.084345060199855
2024-11-04,-0.08187730340025536,-0.23954735012429149
2024-11-05,0.1745985637932633,0.05102971483883138
2024-11-06,-0.2709074940314387,-0.27227068919972774
2024-11-07,0.004426580007845052,-0.0285514289247388
2024-11-08,0.12503407116264786,0.015378365379567913
2024-11-11,0.30628346160092645,0.33804003880193195
2024-11-12,0.20804562081142178,0.3175238516945143
2024-11-13,0.27623043180451934,0.39142815947562626
2024-11-14,0.0937867645149812,0.14585061901824192
2024-11-15,-0.06446782221982668,0.015377580579725629
2024-11-18,-0.4018729861517811,-0.3118275452376258
2024-11-19,0.11906758582360726,0.27347975849120015
2024-11-20,0.04441166861233702,0.2255512544280563
2024-11-21,0.27994655425641535,0.28018297007381154
2024-11-22,-0.07900686122480285,-0.08994905620179276
2024-11-25,0.10494988530836288,-0.04539955872692245
2024-11-26,-0.11911872153569533,0.11960162713962977
2024-11-27,-0.07558842518612072,-0.19833766220992918
2024-11-28,0.07297503911630177,0.12397567854211793
2024-11-29,-0.03703486938898233,0.09982462306520755
